Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
U,UNITY SOFTWARE INC,Information Technology,Equity,"10,951,618.34",0.01,"10,951,618.34","466,622.00",23.47,United States,New York Stock Exchange Inc.,USD,1,--
FIVN,FIVE9 INC,Information Technology,Equity,"10,771,580.70",0.01,"10,771,580.70","258,870.00",41.61,United States,NASDAQ,USD,1,--
TDC,TERADATA CORP,Information Technology,Equity,"10,602,618.42",0.01,"10,602,618.42","342,794.00",30.93,United States,New York Stock Exchange Inc.,USD,1,--
LAMR,LAMAR ADVERTISING COMPANY CLAS,Real Estate,Equity,"10,334,170.80",0.01,"10,334,170.80","77,340.00",133.62,United States,NASDAQ,USD,1,--
FERG,FERGUSON ENTERPRISES INC,Industrials,Equity,"10,219,258.59",0.01,"10,219,258.59","47,917.00",213.27,United States,New York Stock Exchange Inc.,USD,1,--
HWM,HOWMET AEROSPACE INC,Industrials,Equity,"10,190,360.70",0.01,"10,190,360.70","87,321.00",116.7,United States,New York Stock Exchange Inc.,USD,1,--
CSL,CARLISLE COMPANIES INC,Industrials,Equity,"10,098,553.71",0.01,"10,098,553.71","22,069.00",457.59,United States,New York Stock Exchange Inc.,USD,1,--
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials,Equity,"9,853,017.50",0.01,"9,853,017.50","81,262.00",121.25,United States,New York Stock Exchange Inc.,USD,1,--
UHALB,U HAUL NON VOTING SERIES N,Industrials,Equity,"9,718,305.15",0.01,"9,718,305.15","153,455.00",63.33,United States,New York Stock Exchange Inc.,USD,1,--
EG,EVEREST GROUP LTD,Financials,Equity,"9,631,251.00",0.01,"9,631,251.00","24,759.00",389,United States,New York Stock Exchange Inc.,USD,1,--
CASY,CASEYS GENERAL STORES INC,Consumer Staples,Equity,"9,536,459.94",0.01,"9,536,459.94","22,653.00",420.98,United States,NASDAQ,USD,1,--
SOFI,SOFI TECHNOLOGIES INC,Financials,Equity,"9,272,449.68",0.01,"9,272,449.68","575,214.00",16.12,United States,NASDAQ,USD,1,--
